business_name,address,phone,region,district,town,open_date,status
유래쉬,"부산광역시 부산진구 백양산로 59, 당감뜨란채아파트 2층 204호 (부암동)",,부산광역시,부산진구,백양산로,,active
아름다운 미(美) 테라피,전라남도 보성군 벌교읍 홍암로 68,,전라남도,보성군,벌교읍,,active
골든 발란스,"서울특별시 서초구 강남대로 535, 프린스빌딩 10층 (반포동)",,서울특별시,서초구,강남대로,,active
스카이뷰티,"경기도 시흥시 솔고개길 3-4, 2층 204호 일부호 (목감동)",,경기도,시흥시,솔고개길,,active
샤인에스테틱,"서울특별시 강남구 남부순환로 2933, 대치상가 2층 204호 (대치동)",,서울특별시,강남구,남부순환로,,active
주피부샵,"경기도 안산시 단원구 고잔2길 42, 4층 401호일부 (고잔동)",,경기도,안산시,단원구,,active
다이아왁싱,"경기도 수원시 팔달구 효원로249번길 46-15, 4층 (인계동)",,경기도,수원시,팔달구,,active
정담에스테틱,충청남도 공주시 웅진로 164 (중동),,충청남도,공주시,웅진로,,active
조아은스킨앤바디,"제주특별자치도 제주시 고마로19길 44, 1층 101호 (일도이동, 동서빌라)",,제주특별자치도,제주시,고마로19길,,active
아나덴 슈가링왁싱 합정역점,"서울특별시 마포구 독막로 10, 3층 (합정동)",,서울특별시,마포구,독막로,,active
미사더스킨,"경기도 하남시 미사강변한강로 270-1, 미사강변 호반 써밋 3층 142호 (망월동)",,경기도,하남시,미사강변한강로,,active
올가드림뷰티,"경기도 성남시 분당구 분당로 212, 104호 일부호 (분당동, 샛별마을동성아파트)",,경기도,성남시,분당구,,active
팩하우스,"경기도 광주시 오포읍 신현로 51, 3층",,경기도,광주시,오포읍,,active
아이퀸뷰티,"경기도 남양주시 다산중앙로 105-18, 지앤지 비즈타워 206호일부 2층 (다산동)",,경기도,남양주시,다산중앙로,,active
글리슨뷰티(glisten beauty),"경기도 이천시 애련정로 67-15, 1층 104호 (안흥동, 이천코아루휴티스2단지)",,경기도,이천시,애련정로,,active
미유테라피,"서울특별시 영등포구 양평로 118, 휴라이프 6층 (양평동4가)",,서울특별시,영등포구,양평로,,active
지금뷰티,"경기도 김포시 풍무로 110, 203일부호 (풍무동)",,경기도,김포시,풍무로,,active
리본,"경기도 고양시 일산동구 장백로 56, 크리스탈빌딩 7층 703(일부)호 (백석동)",,경기도,고양시,일산동구,,active
뷰티아이,"경기도 안산시 단원구 와동로 110, 1층 15호일부 (와동)",,경기도,안산시,단원구,,active
백다현 스킨케어,"전라남도 여수시 여서동5길 23-1, 1층 (여서동)",,전라남도,여수시,여서동5길,,active
로뎀에스테틱,"부산광역시 수영구 수영로 536, 2층 (광안동)",,부산광역시,수영구,수영로,,active
더마에필센터 (dermaepil center),"서울특별시 영등포구 선유로9길 10, 문래 SK V1 center 2층 209호 (문래동6가)",,서울특별시,영등포구,선유로9길,,active
소티스피부샵,경상북도 성주군 성주읍 성주읍4길 32-1,,경상북도,성주군,성주읍,,active
뷰티홀릭,"서울특별시 강동구 동남로82길 91, 1층 104호 (고덕동)",,서울특별시,강동구,동남로82길,,active
윰 테라피,"서울특별시 강서구 마곡중앙4로 18, 비동 306호 (마곡동)",,서울특별시,강서구,마곡중앙4로,,active
라라뷰티,"대구광역시 달성군 유가읍 테크노중앙대로 254, 하이젠스타 3층 317호",,대구광역시,달성군,유가읍,,active
엘레나,"충청남도 천안시 서북구 1공단4길 25, 3층 302호 (두정동)",,충청남도,천안시,서북구,,active
미모화장품,"서울특별시 성북구 동소문로23길 16, 1층 101호 (동선동4가)",,서울특별시,성북구,동소문로23길,,active
엔젤비,"광주광역시 광산구 임방울대로 353, 홍두빌딩 4층 401호 (수완동)",,광주광역시,광산구,임방울대로,,active
샘스킨앤뷰티,"대구광역시 남구 현충로 116, 1층 (대명동)",,대구광역시,남구,현충로,,active
뷰티샵,"서울특별시 강서구 공항대로41길 66, 세신등촌종합상가 1층 104호 (등촌동)",,서울특별시,강서구,공항대로41길,,active
베이힐 스킨케어,"제주특별자치도 서귀포시 예래로396번길 13-33, 지하1층 (하예동)",,제주특별자치도,서귀포시,예래로396번길,,active
